time,pitch,yaw,roll
0,0.0754466,0,0
1,0.0921133,0,0
2,0.10878,0,0
3,0.125447,0,0
4,0.142113,0,0
5,0.15878,0,0
6,0.345492,0,0
7,0.919595,0,0
8,1.86541,0,0
9,2.98706,0,0
10,4.25875,0,0
11,5.36537,0,0
12,6.27568,0,0
13,6.78318,0,0
14,6.84332,0,0
15,6.33719,0,0
16,5.11995,0,0
17,3.99729,0,0
18,2.99903,0,0
19,2.23953,0,0
20,1.66647,0,0
21,1.26914,0,0
22,0.770563,0,0
23,-0.0502582,0,0
24,-1.1703,0,0
25,-2.36728,0,0
26,-3.67834,0,0
27,-4.95401,0,0
28,-6.27015,0,0
29,-7.34552,0,0
30,-8.26109,0,0
31,-8.97888,0,0
32,-9.45525,0,0
33,-9.72706,0,0
34,-9.78603,0,0
35,-9.63549,0,0
36,-9.17962,0,0
37,-8.16804,0,0
38,-7.092,0,0
39,-5.6115,0,0
40,-4.04604,0,0
41,-2.70755,0,0
42,-1.62971,0,0
43,-0.828189,0,0
44,-0.255867,0,0
45,0.142124,0,0
46,0.412806,0,0
47,0.594783,0,0
48,0.717538,0,0
49,0.804441,0,0
50,0.932571,0,0
51,0.949238,0,0
52,0.940905,0,0
53,0.924238,0,0
54,0.907571,0,0
55,0.890904,0,0
56,0.801482,0,0
57,0.517007,0,0
58,-0.124592,0,0
59,-0.816727,0,0
60,-1.69898,0,0
61,-2.72311,0,0
62,-3.66194,0,0
63,-4.38941,0,0
64,-4.89148,0,0
65,-5.15337,0,0
66,-5.11218,0,0
67,-4.96242,0,0
68,-4.65647,0,0
69,-4.27447,0,0
70,-3.81966,0,0
71,-3.25172,0,0
72,-2.49668,0,0
73,-1.80786,0,0
74,-1.1572,0,0
75,-0.638192,0,0
76,-0.254705,0,0
77,0.00701299,0,0
78,0.186365,0,0
79,0.298961,0,0
80,0.369467,0,0
81,0.40864,0,0
82,0.426763,0,0
